docid	allcopiesofwork	author	authordate	category	copiesin25yrs	enumcron	firstpub	gender	genres	hathiadvent	imprint	inferreddate	latestcomp	nationality	pseudonym	realname	shorttitle	subjects
loc.ark+=13960=t2z329j73	2	France, Lewis B	1833-1907.	notfiction	2		1884.0	m	NotFiction	contemporary	Denver;Chain, Hardy & co.;1884.	1884	1884	us			With rod and line in Colorado waters	Colorado|Fishing
uiuo.ark+=13960=t45q5ks5b	3	West	1758-1852	longfiction	3	v.1	1812.0	f		contemporary	London;Longman, Hurst, Rees, Orme, and Brown;1812.	1812	1812	uk		West, Jane	The loyalists	Great Britain|Fiction|History|Civil War, 1642-1649
mdp.39015001980435	2	Kumin, Maxine	1925-2014	longfiction	2		1974.0	f	NotFiction	contemporary	New York|Viking Press|1974	1974	1974	us			The designated heir	
mdp.39015050326985	1	Rivera, Beatriz	1957-	longfiction	1		2000.0	f	Fiction	contemporary	Houston, Tex.|Arte P�blic	2000	2000	cu			Playing with light : a novel	Book clubs (Discussion groups)|Women|Fiction|Female friendship|Cuban American women|Books and reading|Appreciation
uiuo.ark+=13960=t2891v87m	1	Thomson, Joseph	1858-1895.	longfiction	1	v.2	1888.0	m		contemporary	London;Sampson Low, Marston, Searle, & Rivington;1888.	1888	1888	uk			Ulu	
uc2.ark+=13960=t3dz04t5t	1	Bill, Edward Lyman	1862-1916.	longfiction	1		1898.0	m		contemporary	New York;R.F. Fenno & co.;1910.	1910	1910	us			The sword of the Pyramids	
mdp.39015080888038	1	Bordan, Hanoch		longfiction	1		2008.0	m	Novel	contemporary	Toronto|Vestibule Press|c2008.	2008	2008	ca			So it's all right : a diary of 1961	
mdp.39015039714467	1		1844-1912	notfiction	1	v.1	1956.0	m	Fiction	contemporary	London|Dent|New York|Dutton|1956	1956	1956	uk		Kirby, William Forsell	Kalevala; the land of the heroes	
uc1.b3322471	1			longfiction	1	v. 1	1839.0	u	Fiction	contemporary	London;H. Cunningham;1839.	1839	1839				Castle Martyr : or, A tale of old Ireland	
uc1.b2796042	2	Caswell, Harriet S	1834-	shortfiction	2		1872.0	f	Fiction	contemporary	Montreal;s.n.;1872;(Montreal;J. Lovell)	1872	1872	ca			Stories and sketches	
mdp.39015017697734	2	Roth, Philip	1933-2018	longfiction	2		1990.0	m	Fiction	contemporary	New York|Simon and Schuster|c1990.	1990	1990	us			Deception : a novel	Fiction
uc2.ark+=13960=t9r20td03	2	Bercovici, Konrad	1882-1961.	longfiction	2		1919.0	m		contemporary	New York;Boni and Liveright;1919.	1919	1919	us			Dust of New York	Social life and customs|New York (N.Y.)|Fiction
mdp.39015050727299	1	Lymperakē, Margarita		longfiction	1		1995.0	f	Fiction	contemporary	Athens, Greece|Kedros|New York|Distributed in North America by Paul & Co. Publs. Consortium|c1995.	1995	1995	gk	1919-2001	Lymberaki, Margarita	Three summers	
njp.32101064791153	2	Thomas, Frederick W. (Frederick William)	1806-1866.	longfiction	2	vol. 2	1836.0	m	Fiction	contemporary	Philadelphia;Carey, Lea, & Blanchard;1836.	1836	1836	uk	1867-1956	Thomas, Frederick William	East and west.: A novel	
mdp.39015000630163	2	Larson, Charles R		notfiction	2		1977.0	u	Fiction	contemporary	Indianapolis|Bobbs-Merrill|c1977.	1977	1977				Academia nuts : or, The Collected works of Clara LePage	
mdp.39015004311570	1	McCluskey, John		longfiction	1		1974.0	m	Fiction	contemporary	New York|Random House|1974	1974	1974	us			Look what they done to my song; a novel	
mdp.39015001034399	4	Dalton, William	1821-1875.	poetry	4		1500.0	m	NotFiction	reprint	New York;Townsend;1860.	1860	1860				Early English poetry, ballads and popular literature of the middle ages	
mdp.39015038148683	1	Smith, C. W. (Charles William)	1940-	longfiction	1		1996.0	m	Fiction	contemporary	Fort Worth|Texas Christian University Press|c1996.	1996	1996				Hunter's trap : a novel	
mdp.39015019374266	1			shortfiction	1		1942.0	u	UnknownGenre	contemporary	London.|The Pilot press|1942	1942	1942				Soviet short stories	Short stories, Russian
uc1.b3322034	3	Hollis, Margery		longfiction	3	v. 3	1885.0	f	Fiction	contemporary	London;R. Bentley and Son;1885.	1885	1885				Anthony Fairfax : a novel	
mdp.39015061160530	1	Mitchell, Kirk	b. 1950	longfiction	1		2003.0	m	Novel|Mystery fiction	contemporary	New York|Berkley Prime Crime|2003.	2003	2003	us			Sky woman falling	Oneida Indians|Indians of North America|Government investigators|United States|Indian women|Bureau of Indian Affairs|Fiction|Land tenure|Turnipseed, Anna (Fictitious character)|Parker, Emmett (Fictitious character)
hvd.rsmd2m	11	More, Hannah	1745-1833.	longfiction	10		1809.0	f	Fiction|NotFiction	contemporary	New-York;David Carlisle;1809.	1809	1809	uk			Cœlebs in search of a wife : comprehending observations on domestic habits and manner, religion and morals	English fiction
mdp.39015063963816	2	Quincy, Edmund	1808-1877.	longfiction	2		1877.0	m	NotFiction	contemporary	Boston;J. R. Osgood and company;1885.	1885	1877	us			Wensley, and other stories	
osu.32435017977026	1	Lewis, Beth		longfiction	1		1951.0	u	Fiction	contemporary	New York|Merlin Press|c1951.	1951	1951	us	Lewis, Beth | Lewis, Perry A	Lipkin, Beth | Lipkin, Perry A. 	A journey into heaven	
uc1.b266926	2			juvenile	2		1835.0	u		contemporary	Philadelphia;American Sunday-School Union;c1835.	1835	1835				Ann Connover	
uc1.b4104064	2	Abbott, Jacob	1803-1879.	juvenile	2		1835.0	m	Juvenile audience|Fiction|UnknownGenre	contemporary	New York;T. Y. Crowell;1855.	1855	1855	us			Rollo learning to read	
uc1.$b87049	1	Byrd, Sigman		notfiction	1		1955.0	m	NotFiction	contemporary	New York|Viking Press|1955.	1955	1955				Sig Byrd's Houston	
mdp.49015000298159	1	Searls, Hank	1922-2017	longfiction	1		1987.0	m	Fiction	contemporary	New York|McGraw-Hill|c1987.	1987	1987	us			Kataki : a novel	
uiuo.ark+=13960=t6c25g95p	4	James, G. P. R. (George Payne Rainsford)	1799-1860.	longfiction	4	v.2	1844.0	m	Fiction	contemporary	London;R. Bentley;1844.	1844	1844	uk		James, George Payne Rainsford	Arabella Stuart	1575-1615|History|James I, 1603-1625|Fiction|Lady|Stuart, Arabella
uc2.ark+=13960=t5j964t2w	2	Trollope, Thomas Adolphus	1810-1892.	longfiction	2	v.0001	1861.0	m		contemporary	London;Chapman and Hall;1861.	1861	1861	uk			La Beata	
wu.89099302457	1	Reed, Warren		longfiction	1		1950.0	m	Domestic fiction|Fiction	contemporary	Indianapolis|New York|Bobbs-Merrill Co.|c1950.	1950	1950				She rode a yellow stallion	Community life|Families|Fiction|Wisconsin|Diary fiction, American|Man-woman relationships
mdp.39015005729267	1	Simenon, Georges	1903-1989.	longfiction	1		1975.0	m	Fiction	contemporary	London|Hamilton|1975.	1975	1975	be			The others	
hvd.hnspmy	1			longfiction	1	v.1	1820.0	u	Dialogues|NotFiction	contemporary	Boston (Court-Street);Wells and Lilly;1820.	1820	1820				Village dialogues / by the Author of William's Return	Christian life
nyp.33433075765705	1	Pemberton, Max, Sir	1863-1950.	shortfiction	1		1894.0	m	NotFiction	contemporary	London;Ward, Lock, & Bowden;1894.	1894	1894	uk			Jewel mysteries I have known : from a dealer note book	Jewelry|Fiction
mdp.39015054108751	2	Green, Gerald	1922-2006	longfiction	2		1956.0	m	Fiction	contemporary	New York|Scribner|c1956	1956	1956	us			The last angry man; a novel	
mdp.39015060667444	1	Gale, Patrick	1962-	longfiction	1		2005.0	m	Fiction	contemporary	London|New York|Fourth Estate|2005.	2005	2005	uk			Friendly fire	Fiction|Bildungsromans|Education|Orphans
uc1.b4102375	1	Walther, Don		longfiction	1		1987.0	m	Fiction	contemporary	Rotterdam, Netherlands|Laetitia Books|c1987.	1987	1987	us			Road to riches : a West Indian novel	
pst.000012691623	1	Richard, Adrienne		longfiction	1		1976.0	f	NotFiction	contemporary	New York|Dell|1979, c1976.	1976	1976				Into the road	
mdp.39015055805496	1	Jeyakāntaṉ	1934-2015	shortfiction	1		2000.0	m	Short stories	contemporary	New Jersey|Cindhanai Vattam|2000.	2000	2000	in		Jayakanthan, D.	Trial by fire and other stories	Translations into English|1934-|Jeyakāntaṉ
uc1.32106006704339	1	Rivers, Gayle		longfiction	1		1978.0	m	Fiction	contemporary	Garden City, N.Y.|Doubleday|1978.	1978	1978		Rivers, Gayle		The five fingers	Fiction|Vietnam War, 1961-1975
mdp.39015020921808	4	Warren, Robert Penn	1905-1989.	longfiction	3		1939.0	m	Fiction|Historical fiction|NotFiction	contemporary	New York|Random House|c1939.	1939	1939	us			Night rider	Fiction|Tobacco farmers|Night Riders (Group)
uiuo.ark+=13960=t36119k7x	3	Carne, John	1789-1844.	longfiction	3	v.1	1829.0	m		contemporary	London;H. Colburn;1829.	1829	1829	uk			Stratton hill	
mdp.39015019864969	1			shortfiction	1		1991.0	u	NotFiction	contemporary	New York, N.Y.|Dutton|1991.	1991	1991				High risk : an anthology of forbidden writings	United States|Literary collections|Homosexuality|Sex customs|Erotic literature, American|American literature|20th century
nyp.33433075772669	2	Williamson, C. N. (Charles Norris)	1859-1920 | 1869-1933	longfiction	2		1913.0	u	Fiction	contemporary	Garden City, N.Y.;Doubleday, Page & Company;1913.	1913	1913	us		Williamson, Charles Norris | Williamson, Alice Muriel	The port of adventure	
uc1.b3553822	2	Corry, John	approximately 1770-	juvenile	2		1803.0	m	Fiction	contemporary	London;Printed for B. Crosby and Co.;1803	1803	1803	uk			The history of Henry Thomson, or The reward of filial affection	Chapbooks
uc1.b182926	2	Reed, Andrew	1787-1862.	longfiction	2	v. 1	1819.0	m		contemporary	London;Francis Westley;1820.	1820	1820	uk			No fiction	
uc1.b4381884	1	Guthrie, A. B., Jr. (Alfred Bertram)	1901-1991.	longfiction	1		1985.0	m	Fiction	contemporary	Boston|Houghton Mifflin|1985.	1985	1985	us		Guthrie Jr., Alfred Bertram	Playing catch-up	
nnc1.0315131394	4	Maturin, Charles Robert	1780-1824.	longfiction	4	v.1	1812.0	m	Fiction	contemporary	London;Printed for Henry Colburn;1812.	1812	1812	ir			The Milesian chief.  A romance	
uiuo.ark+=13960=t4gm8vk7t	3	Tabor, Eliza	1835-1914	longfiction	3	v.3	1866.0	m		contemporary	London;Hurst and Blackett;1866.	1866	1866	uk		Stephenson, Eliza Tabor	Rachel's secret	
nyp.33433076018294	1			shortfiction	1		1846.0	u	NotFiction	contemporary	Hartford;S. Andrus and son;c1845	1846	1846				The ladies' scrap-book	Gift books
hvd.hwe3lv	2	Opie, Amelia Alderson	1769-1853.	longfiction	2	v.2	1818.0	f	Fiction	contemporary	Boston;S.G. Goodrich;1827.	1827	1827	uk			New tales	
pst.000047317420	1			shortfiction	1	v.3-4	1850.0	u	NotFiction	reprint	New York|Garrett Press|1969.	1969	1969				Stories by English authors	19th century|English fiction
