doc1	auth1	title1	doc2	auth2	title2	authmatch	titlematch	overlap	groundtruth	hasworks	cossim
uc2.ark+=13960=t9z03178h	white, grace miller	Rose O'Paradise	nyp.33433076046931	white, grace miller	Rose o' paradise	1.0	0.9677419355	5.442417710499999	1	0	0.0116625934
wu.89099763393	jefferies, richard	Amaryllis at the fair	uc1.b3579109	jefferies, richard	Amaryllis at the fair	1.0	1.0	18.3080606076	1	0	0.0118588473
mdp.39015063952611	robb, john s	Streaks of squatter life, and far-West scenes. A series of h	njp.32101065543405	robb, john s	Streaks of squatter of life, and far-west scenes ; a series 	1.0	0.9142857143	115.1702840252	1	0	0.012213056299999999
mdp.39015002157272	le guin, ursula k	The word for world is forest	mdp.39015062113124	le guin, ursula k	The word for world is forest	1.0	1.0	22.9324443939	1	0	0.012259458700000002
wu.89099763393	jefferies, richard	Amaryllis at the fair	nyp.33433074867452	jefferies, richard	Amaryllis at the fair	1.0	1.0	18.3080606076	1	0	0.0123175386
uc1.$b301879	miln, louise (jordan), mr	Mr. & Mrs. Sên	mdp.39015063945151	miln, louise (jordan), mr	Mr. & Mrs. Sên	1.0	0.8965517241	21.8770423323	1	0	0.012626861299999998
nyp.33433082397815	sherard, robert harboroug	Oscar Wilde, the story of an unhappy friendship, with portra	njp.32101004082911	sherard, robert harboroug	Oscar Wilde; the story of an unhappy friendship	1.0	0.9714285714	37.253243874	1	0	0.013769051499999999
mdp.39015063973583	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	uc1.b3347384	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	1.0	1.0	103.5760672337	1	0	0.0138567066
uc1.b3347384	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	mdp.39015063973575	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	1.0	1.0	103.5760672337	1	0	0.0138567066
mdp.39015063973583	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	uc1.b3347383	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	1.0	1.0	103.5760672337	1	0	0.0138567066
uc1.b3347383	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	mdp.39015063973575	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	1.0	1.0	103.5760672337	1	0	0.0138567066
mdp.39015063560513	kelty, mary ann	The favourite of nature. A tale	njp.32101068971140	kelty, mary ann	The favourite of nature; a tale	1.0	0.9836065573999999	18.4909975387	1	0	0.0144338697
uc1.$b703803	hémon, louis	Maria Chapdelaine, a tale of the Lake St. John country	uc1.32106001770475	hémon, louis	Maria Chapdelaine, a tale of the Lake St. John country	1.0	1.0	40.6886325684	1	0	0.014540634399999999
mdp.39015033373252	hémon, louis	Maria Chapdelaine, a tale of the Lake St. John country	uc1.$b703803	hémon, louis	Maria Chapdelaine, a tale of the Lake St. John country	1.0	1.0	40.6886325684	1	0	0.0145406851
loc.ark+=13960=t1dj5z08n	parks, leighton	English ways and by-ways;	mdp.39015065300009	parks, leighton	English ways and by-ways; being the letters of John and Ruth	1.0	0.813559322	20.348846712100002	1	0	0.014546054099999999
mdp.39015033170468	bourget, paul	The story of André Cornélis	uc2.ark+=13960=t1sf2nt5g	bourget, paul	The story of Andr?? Cornelis	1.0	0.9090909091	3.0910424533999996	1	0	0.014599551100000002
wu.89097347462	racovița, elena (von dönn	Princess Helene von Racowitza : an autobiography	mdp.39015026478464	racoviţa, elena (von dönn	Princess Helene von Racowitza, an autobiography; authorised 	0.96	0.9714285714	40.239382314000004	1	0	0.0146261681
mdp.39015002660473	eckert, allan w	A time of terror; the great Dayton flood	pst.000015277930	eckert, allan w	A time of terror : the great Dayton flood	1.0	0.9714285714	33.153519399400004	1	0	0.0152438766
mdp.39015030071552	lagerlöf, selma	The ring of the Löwenskölds	inu.30000077970220	lagerlöf, selma	The ring of the Löwenskölds : including The General's ring	1.0	0.8064516129000001	16.9687723395	0	0	0.0153968246
uc1.b3578738	chester, george randolph	Get-rich-quick Wallingford. A cheerful account of the rise a	uc2.ark+=13960=t0zp3x50x	chester, george randolph	Get-rich-quick Wallingford	1.0	0.8524590164	18.3917622562	1	0	0.015423951699999999
inu.30000011896655	malamud, bernard	A new life	mdp.49015000716010	malamud, bernard	A new life	1.0	1.0	6.9508147684	1	0	0.0154537374
uc1.32106017321883	bailey, paul	Peter Smart's confessions	mdp.39015030848892	bailey, paul	Peter Smart's confessions	1.0	1.0	21.8072314975	1	0	0.015555784
uc1.b3834591	cronin, a. j. (archibald 	Adventures in two worlds	mdp.39015072138087	cronin, a. j. (archibald 	Adventures in two worlds	1.0	1.0	15.0273515269	1	0	0.015561266
