docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,category,shorttitle
uc1.b3324315,"Hall, S. C., Mrs","Hall, Anna Maria","Hall, Mrs. S.C.",f,ir,1800-1881.,1837,,1837,6,6,v. 1,London;H. Colburn;1837.,Fiction,Irish fiction,novel,Uncle Horace : a novel
hvd.32044090343690,"Gore, (Catherine Grace Frances), Mrs","Gore, Catherine Grace Frances",,f,us,1799-1861.,1838,,1838,3,3,v.3,London;H. Colburn;1838.,Fiction,,shortstories,"Mary Raymond, and other tales"
hvd.32044024457657,"Goethe, Johann Wolfgang von",,,m,de,1749-1832.,1840,1796,1832,45,12,v.2,Philadelphia;Lea and Blanchard;1840.,NotFiction|Bibliographies|Fiction|UnknownGenre,Fiction|German,reprint,Wilhelm Meister's apprenticeship and travels
uiuo.ark+=13960=t2w38bv57,"Pickering, Ellen",,,f,uk,d. 1843.,1840,,1840,3,3,v.2,London;T. & W. Boone;1840.,,823P585W,novel,Who shall be heir?
njp.32101067179315,"Trollope, Frances Milton",,,f,uk,1780-1863.,1841,1800,1841,3,3,v.1,London;Henry Colburn;1841.,,"Browne, Hablot Knight|1815-1882",reprint,"Charles Chesterfield : or, the adventures of a youth of genius"
nyp.33433067347041,"Ingemann, Bernhard Severin",,,m,da,1789-1862.,1843,1833,1843,3,3,v. 1,"London;Longman, Brown, Green, & Longmans;1843.",Fiction,"History|Fiction|Erik Menved, 1286-1319",novel,"King Eric and the outlaws, or, The throne, the church, and the people : in the thirteenth century"
uiuo.ark+=13960=t2q53050z,Gore,"Gore, Catherine Grace Frances",,f,uk,1798-1861,1843,1841,1843,3,3,v.2,London;Richard Bentley;1843.,,823G66CE1843,novel,"Cecil, or, The adventures of a coxcomb"
uiuo.ark+=13960=t3320j74x,"Lever, Charles James",,,m,ir,1806-1872.,1844,,1844,4,3,v.2,London;Henry Colburn;1844.,NotFiction,,novel,Arthur O'Leary
uiuo.ark+=13960=t15m6j33h,"Colquhoun, Katharine",,,f,uk,1787-1871,1844,,1844,3,3,v.1,London;T.C. Newby;1844.,,Saxony (Germany)|1423-1815|Elector of Saxony|Fiction|1521-1553|History|Maurice,novel,"Maurice, the Elector of Saxony"
uc1.b3321966,"Cobbold, Richard",,,m,uk,1797-1877.,1846,1845,1846,3,3,v.1,London;H. Colburn;1846.,,Fiction,novel,"Mary Anne Wellington : the soldier's daughter, wife and widow"
uiuo.ark+=13960=t8sb4r697,"Wallace, Ellen",,,f,uk,1816-1894,1846,,1846,3,3,v.2,London;R. Bentley;1846.,,,novel,Margaret Capel
uiuo.ark+=13960=t3320hb6t,"North, William",,,m,uk,1825-1854,1847,1845,1847,3,3,v.2,London;T.C. Newby;1847.,,,novel,"The impostor, or, Born without a conscience"
uc2.ark+=13960=t6xw48g2v,"Myers, P. Hamilton (Peter Hamilton)","Myers, Peter Hamilton",,m,uk,1812-1878.,1848,,1848,5,5,,"New York;G. P. Putnam; [etc., etc.;1848.",Fiction,"Fiction|New York (State)|History|Colonial period, ca. 1600-1775",novel,The first of the Knickerbockers: a tale of 1673
nyp.33433074930037,"Brontë, Anne",,,f,uk,1820-1849.,1848,,1848,23,2,,New York;Harper & brothers;1848.,Domestic fiction|ContainsBiogMaterial|NotFiction|Bibliographies|Fiction|UnknownGenre,Married women|19th century|English fiction|England|Fiction|Social life and customs|Fiction|Landlord and tenant|Social life and customs|Alcoholics|Alcoholism,novel,The tenant of Wildfell Hall
uiuo.ark+=13960=t3kw5sm3s,"Grant, James",,,m,uk,1822-1887.,1848,,1848,7,6,v.2,"London;Smith, Elder;1848.",Fiction,,novel,"Adventures of an aide-de-camp, or A campaign in Calabria"
uiuo.ark+=13960=t50g48273,"Paton, A. A","Paton, Andrew Archibald",,m,uk,1811-1874,1851,,1851,6,6,v.3,London;Bentley;1851.,,,novel,The mamelukes
