docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
uc1.$b87049	Byrd, Sigman	Byrd, Sigman		1955	1955	s	1955	||||	New York|Viking Press|1955.	1955		NotFiction			PZ3.B9959Si	1628825.0	nyu	6593286	1	1	1			Sig Byrd's Houston.		True	Sig Byrd's Houston
uc1.$b106136	Weidman, Jereme	Weidman, Jereme	1913-	1955	1955	s	1955	    	Garden City, N. Y.|Doubleday|1955.	1955	[1st ed.]	Fiction			PZ3.W4257Yo	1390895.0	nyu	6603985	1	1	1			Your daughter Iris, | a novel.		True	Your daughter Iris, a novel
mdp.39015039714467				1956	1956	s	1956	    	London|Dent|New York|Dutton|1956	1956		Fiction				4127424.0	enk	904968	1	1	1	v.1	1.0	Kalevala; | the land of the heroes. | $c: Translated by W. F. Kirby. Introd. by J. B. C. Grundy.		True	Kalevala; the land of the heroes
mdp.39015014138690	Humphreys, Emyr	Humphreys, Emyr		1956	1955	c	1956	1955	New York|McGraw-Hill|1956, c1955	1956		Novel|NotFiction	Fiction|Wales|Family farms|Brothers and sisters		PZ3.H8882Man2	1646754.0	nyu	479472	1	2	1			A man's estate.		True	A man's estate
mdp.39015038922723	Lewis, C. S. (Clive Staples)	Lewis, C. S. (Clive Staples)	1898-1963.	1956	1956	s	1956	    	London|The Bodley Head|1956.	1956		NotFiction			PZ8.L48Las	8990326.0	enk	537005	3	3	3			The last battle, | a story for children; | $c: illustrated by Pauline Baynes.		True	The last battle, a story for children;
mdp.39015066063937	Shellabarger, Samuel	Shellabarger, Samuel	1888-1954.	1956	1954	s	1956	    	Boston|Toronto|Little, Brown|1956.	1956		Fiction				2704551.0	onc	1378263	1	1	1			Tolbecken / | $c: by Samuel Shellabarger.		True	Tolbecken
uc1.32106014453721	Sayers, Dorothy L. (Dorothy Leigh)	Sayers, Dorothy L. (Dorothy Leigh)	1893-1957.	1956	1956	s	1956	    	New York|Harper & Row|1956	1956	Book club ed	NotFiction				1952203.0	xx 	7133816	1	1	1			Clouds of witness : | and The unpleasantness at the Bellona Club / | $c: by Dorothy L. Sayers		True	Clouds of witness : and The unpleasantness at the Bellona Club
uc1.$b548783	Tomkinson, Constance	Tomkinson, Constance	1915-	1956	1956	r	1956	    	Boston|Little, Brown|1956	1956	[1st American ed.]	NotFiction	Correspondence, reminiscences, etc|Dancers		GV1785.T56A3 1956a	5030208.0	mau	1287222	1	1	1			Les girls. | $c: With drawings by David Knight.		True	Les girls
mdp.39015063837564	Rüber, Johannes	Rüber, Johannes	1928-	1956	1956	s	1956	    	London|R. Hart-Davis|1956.	1956		Fiction|UnknownGenre|NotFiction	Musical fiction|1685-1750|Fiction|Bach, Johann Sebastian		ML3925.B12R82 1956	9253970.0	enk	1112602	1	3	3			Bach and the heavenly choir;		True	Bach and the heavenly choir;
pst.000005739998	Lange, Carl W	Lange, Carl W		1956	1956	s	1956	    	New York|AP Books|1956.	1956	[1st ed.].	NotFiction				12042356.0	xx 	7031690	1	1	1			The other horizon.		True	The other horizon
pst.000005455102	Fairchild, Garet	Fairchild, Garet		1956	1956	s	1956	    	New York|Exposition Press|1956].	1956	[1st ed.].	NotFiction			PZ4.F165Pr	3227909.0	xx 	7031394	1	1	1			Prisoners in the Riff : | a novel.		True	Prisoners in the Riff : a novel
mdp.39015054108751	Green, Gerald	Green, Gerald		1956	1956	s	1956	    	New York|Scribner|c1956	1956		Fiction			PZ3.G8227Las	284757.0	nyu	393884	2	2	2			The last angry man; | a novel.		True	The last angry man; a novel
uc1.$b703452	Mass, Nuri	Mass, Nuri		1956	1956	s	1956	    	Sydney|Writers' Press|1956	1956		NotFiction	Indians of South America|Social life and customs|Argentina	Argentina	F2810.M36	13545893.0	at 	8384546	1	1	1			Where the Incas trod; | $c: illustrated with line-drawings by Celeste Mass. 24 photos., and a map.		True	Where the Incas trod;
pst.000031955812	Barth, John	Barth, John	1930-	1956	1956	t	1965	1956	New York|Avon|1965, c1956.	1965		Fiction|NotFiction			PS3552.A75F5 1965	5468943.0	xxu	12256639	1	5	5			The floating opera / | $c: John Barth.		True	The floating opera
mdp.39015000551575	O'Meara, Walter	O'Meara, Walter		1956	1956	s	1956	    	New York|Holt|1956	1956	[1st ed.]	Fiction			PZ3.O555Mi	1826503.0	nyu	672190	1	1	1			Minnesota Gothic, | a novel.		True	Minnesota Gothic, a novel
mdp.49015001330217	Stone, Irving	Stone, Irving	1903-1989.	1957	1957	s	1957	    	New York|Oxford Book Co.|c1957	1957		NotFiction	1809-1865|Lincoln, Mary Todd|Fiction|1818-1882|Lincoln, Abraham			10881160.0	nyu	4516232	1	1	1			Love is eternal. | $c: Edited for school use by George W. Sullivan.		True	Love is eternal
uc1.$b243341	Horgan, Paul	Horgan, Paul	1903-1995.	1957	1957	s	1957	    	New York|Farrar, Straus and Cudahy|1957	1957		Fiction			PZ3.H7845Gi	1249490.0	nyu	6498072	1	1	1			Give me possession.		True	Give me possession
uc1.$b119319	Guth, Paul	Guth, Paul		1957	1957	s	1957	    	London|Cape|1957	1957		Fiction				11045598.0	enk	6611256	1	1	1			The innocent tenant; | $c: translated from the French by Constantine Fitzgibbon.		True	The innocent tenant;
uc1.b3462013	Clifton, Mark	Clifton, Mark		1957	1957	s	1957	    	New York|Gnome Press|1957.	1957	[1st ed.]	Fiction			PZ4.C639Th	1147641.0	nyu	6304680	1	2	2			They'd rather be right | $c: [by] Mark Clifton and Frank Riley.		True	They'd rather be right
mdp.39015016414438	Martin, Sylvia Pass	Martin, Sylvia Pass	1913-	1957	1957	s	1957	    	New York|Harper|c1957	1957	[1st ed.]	Fiction	Tussaud, Marie|Fiction|1761-1850		PZ4.M384I	1037741.0	nyu	629535	1	1	1			I, Madame Tussaud.		True	I, Madame Tussaud
coo.31924013926278	Fetter, Elizabeth (Head)	Fetter, Elizabeth (Head)	1904-	1957	1957	s	1957	    	New York|Appleton-Century-Crofts|c1957	1957		NotFiction	Marriage		HQ734.F413	1282342.0	nyu	9077585	1	1	1			Help your husband stay alive, | $c: by Hannah Lees [pseud.]		True	Help your husband stay alive
mdp.39015053616655	Morrison, Theodore	Morrison, Theodore	1901-	1957	1957	s	1957	    	New York|Viking Press|1957.	1957		Fiction			PZ4.M882To	852999.0	nyu	671319	2	2	2			To make a world.		True	To make a world
