"docid"	"author"	"realname"	"pseudonym"	"gender"	"nationality"	"authordate"	"inferreddate"	"firstpub"	"latestcomp"	"allcopiesofwork"	"copiesin25yrs"	"enumcron"	"imprint"	"genres"	"subjects"	"category"	"shorttitle"
"uc1.32106008957109"	"Smeaton, William Henry Oliphant"			"m"	"uk"	"1856-1914."	1899		1899	1	1		"London;Blackie & Son, Ltd"	"Fiction"		"novel"	"A mystery of the Pacific"
"pst.000005343812"	"Herbert, Alice"			"f"			1928		1928	1	1		"New York|D. Appleton and "	"NotFiction"		"novel"	"A pen and ink passion"
"uiuo.ark+=13960=t5q81xt36"	"Robertson, Anne J"			"f"	"uk"		1869		1869	3	3	"v.2"	"London;T. Cautley Newby;1"		"823R5453S"	"novel"	"Society in a garrison town"
"uiuo.ark+=13960=t0xp7gv54"				"f"	"uk"		1810		1810	1	1	"v.2"	"London;Printed for the au"			"novel"	"The adulteress ; or, anecdotes of two noble families"
"uc2.ark+=13960=t3nv9cb9x"	"Dabney, Virginius"			"m"	"us"	"1835-1894."	1889		1889	2	2		"Philadelphia;J. B. Lippin"			"shortstories"	"Gold that did not glitter"
"uiuo.ark+=13960=t49p3f891"	"Grant, Alexander Charles"						1881		1881	2	2	"v.1"	"Edinburg;William Blackwoo"		"823G766B"	"nonfic"	"Bush-life in Queensland"
"mdp.39015012866847"				"f"			1985		1985	1	1		"Knoxville|University of T"	"Bibliographies|Fiction"	"Translations from Polish|"	"shortstories"	"Russian and Polish women's fiction"
"mdp.39015030850492"	"Bray, Jenny"						1969		1969	1	1		"Lawas, Sarawak, Malaysia|"	"Fiction"	"Kayan (Bornean people)|Fi"	"novel"	"Longhouse of fear"
"uc1.b3331910"							1858		1858	1	1		"New York;Dick & Fitzgeral"	"Juvenile audience|Fiction"		"juvenile"	"The book of one thousand tales and amusing adventures : a work for youth"
"uc2.ark+=13960=t1vd6qf4p"	"Clark, Charles Heber"			"m"	"us"	"1841-1915."	1879		1879	1	1		"Philadelphia;P. Garrett;1"			"shortstories"	"Out of the hurly-burly"
"uc1.32106008857663"	"Waldrop, Keith"			"m"	"us"	"b. 1932."	1989		1989	1	1		"Barrytown, NY|Station Hil"	"Fiction"		"novel"	"Hegel's family : serious variations"
"nyp.33433075756100"	"Sealsfield, Charles"					"1793-1864."	1852		1852	2	2		"Edinburgh and;London;W. B"	"NotFiction"	"Southwest, Old|Frontier a"	"nonfic"	"Scenes and adventures in central America"
"nyp.33433076078595"							1833		1833	1	1		"Boston;1833."	"NotFiction"	"English literature"	"nonfic"	"The Olio:"
"uc1.b4105552"	"Trollope, Anthony"			"m"	"uk"	"1815-1882."	1867	1863	1867	4	3		"London;Chapman & Hall;186"	"Yellowbacks|Fiction|NotFi"		"shortstories"	"Tales of all countries"
"mdp.39015037698258"	"Mantel, Hilary"			"f"	"uk"	"1952-"	1995	1995	1995	1	1		"London|Viking|New York|Pe"	"Fiction"		"novel"	"An experiment in love"
"mdp.39015073446323"					"us"		1933		1933	2	2		"New York|C. Scribner's|19"	"NotFiction"	"Short stories, American"	"shortstories"	"Life in the United States; a collection of narratives of contemporary life from first-hand experience or observation"
"uiuo.ark+=13960=t8w95tz11"	"Walker, George"			"m"	"uk"	"1772-1847."	1803		1803	3	3	"v.2"	"London;Printed for G. Wal"		"823W15D"	"novel"	"Don Raphael"
