docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob
mdp.39015000623663	Kipling, Rudyard	Kipling, Rudyard	1865-1936.	1800	1800	s	1910	    	New York;Manhattan press;1910?	1910		ContainsBiogMaterial|NotFiction|Fiction|UnknownGenre	English fiction			4361636.0	nyu	590775	2	38.0	2.0			Plain tales from the hills / | $c: by Rudyard Kipling.		True	Plain tales from the hills	0.0	0.0
mdp.39015010689878	Kipling, Rudyard	Kipling, Rudyard	1865-1936.	1800	1800	s	1910	    	New York;Manhattan press;1910?	1910		UnknownGenre|NotFiction				5134154.0	nyu	628805	2	4.0	2.0			Wee Willie Winkie : | and other stories / | $c: by Rudyard Kipling.		True	Wee Willie Winkie : and other stories	0.17311338542941074	0.051005630836317546
mdp.39015059375132	[Burges, Mary Anne]	[Burges, Mary Anne]	1763-1813.	1800	1800	s	1800	    	London;Printed for J. Hatchard;1800.	1800	2d ed.	Fiction				13369621.0	enk	778960	1	2.0	2.0			The progress of the pilgrim Good-Intent, in Jacobinical times.		True	The progress of the pilgrim Good-Intent, in Jacobinical times	0.3053477431821953	0.17065221348515108
nyp.33433074967500	Edgeworth, Maria	Edgeworth, Maria	1767-1849.	1801	1801	s	1801	    	London;Printed for J. Johnson, by H. Bryer;1801.	1801	The 3d ed.	NotFiction				2378791.0	enk	8586529	1	2.0	2.0			Castle Rackrent; | an Hibernian tale. Taken from facts, and from the manners of the Irish squires, before the year 1782.		True	Castle Rackrent; an Hibernian tale. Taken from facts, and from the manners of the Irish squires, before the year 1782	0.14598221464658076	0.6081563406209111
uc2.ark+=13960=t8df6pq05				1802	1802	s	1802	    	London;J. Badcock;1802.	1802						6460800.0	enk	1880552	2	2.0	2.0			Welsh legends		True	Welsh legends	0.31990399885789944	0.0799452493592389
dul1.ark+=13960=t2m628g7q	Rowson	Rowson		1802	1802	s	1802	    	Harrisburgh, Pennsyl.;Printed for Mathew Carey of Philadelphia, by John Wyeth.;1802.	1802						288036224.0	pau	10945352	1	2.0	2.0			Charlotte Temple		True	Charlotte Temple	0.07504800129122223	0.4788045965846917
uc1.b3553822	Corry, John	Corry, John	approximately 1770-	1803	1803	s	1803	    	London;Printed for B. Crosby and Co.;1803	1803		Fiction	Chapbooks			6921633.0	enk	6673646	2	2.0	2.0			The history of Henry Thomson, | or The reward of filial affection. | $c: By John Corry ...		True	The history of Henry Thomson, or The reward of filial affection	0.0	1.0
uc2.ark+=13960=t45q5047r	Hays, Mary	Hays, Mary	1759 or 60-1843.	1803	1803	 	1803	    	London;Printed for Richard Phillips;1803.	1803			Women|Biography			39830131.0	   	7688854	2	2.0	2.0	v.6	6.0	Female biography;		True	Female biography;	0.8216548783339337	0.02035811360771941
hvd.hn2tpv	Hunter, Rachel	Hunter, Rachel	1754-1813.	1803	1803	s	1803	    	London;Printed for W. Robberds, Norwich; sold by Longman and Rees;1803.	1803		NotFiction				13369490.0	enk	9711854	1	2.0	2.0	v.3	3.0	Letters from Mrs. Palmerstone to her daughter; | inculcating morality by entertaining narratives. | $c: By Mrs. Hunter, of Norwich.		True	Letters from Mrs. Palmerstone to her daughter; inculcating morality by entertaining narratives	0.0	0.0
uc2.ark+=13960=t4nk38459	Pitt, William	Pitt, William		1804	1804	s	1804	    	London;Printed for T. Payne ... by T. Bensley;1804.	1804			Pitt, William|Camelford, Thomas Pitt|Earl of Chatham|Baron|Correspondence|1708-1778|1737-1793			8738925.0	enk	5818982	2	2.0	2.0			Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq		True	Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq	1.0	0.0
