docid	recordid	oclc	locnum	author	authordate	imprint	inferreddate	datetype	startdate	enddate	imprintdate	place	enumcron	materialtype	language	subjects	genres	geographics	contents	title
uc2.ark:/13960/t7kp7w441	007371057	22787689		Simms, William Gilmore,	1806-1870.	Philadelphia|Louis A. Godey|1844.	1975	r	1844	1975	1844	cau		monograph	eng		Fiction			The prima donna : | a passage from city life / by W. G. Simms.
uiuo.ark:/13960/t0rr1wh3h	008722252	3141476				Peotone? Ill.|s.n.|1956	1956	s	1956	    	1956	ilu		monograph	eng	Peotone, Ill	Fiction|ContainsBiogMaterial			Peotone on parade, 1856-1956 : | centennial celebration, August 2-3-4-5, '56.
uiuo.ark:/13960/t7tm8d621	008999625	1806852	PZ4.G242Ab	Garrison, Anet.		New York|Exposition Press|1951	1951	s	1951	    	1951	nyu		monograph	eng	Lincoln, Abraham|1809-1865|Fiction	Fiction			Abe Lincoln at Loafer Station, | a novel based on Hoosier legends.
mdp.39076005078881	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005078907	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005078915	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005078923	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005078931	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005078949	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005078956	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
mdp.39076005078964	009927974	5108799		(John Joseph), Meyer, John J.	b. 1873.	New York|R.D. Henkle|c1935	1935	s	1935	    	1935	nyu		monograph	eng		Fiction			13 seconds that rocked the world; | or, The mentator, | $c: by John J. Meyer ... a romance of a mankind director in an age of certified reason.
